PERMNO	NAME	DATE
88845	Aetna	02012003
14102	Sprouts	09192016
14541	Chevron	04042015
49154	Target	10242017
76568	Sonic	11112017
11970	APC	09081998
56784	FL Rock	05142007
79103	OReilly	10152016
11081	Dell	04162011
12079	GM	06032008
41080	Cummins	06032008
50876	Lilly	08142004
32379	GLK	07111993
10786	Bethleh	08141995
43449	MCD	12012002
92214	DTec	10162002
85704	M2M Sys	07051999
19561	Boeing	06242001
23317	Enron	01092001
79528	SPSS	04111999
10104	Oracle	05272002
54391	AG Edw	08082004
66181	Home De	01192005
59328	Intel	08012006
59328	Intel	03152007
59328	Intel	01142008
59328	Intel	01292009
14541	Chevron	08092011
15441	Chevron	05202012
92156	Covidie	09112014
22111	JNJ	03142009


